web-scraper-order,web-scraper-start-url,marque,prix,adresse,image-src
"1708086691-1","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Nissan qashqai","4 200 000 FCFA","Plateau","media/annonces/pics/thumbs/62c02a0aaab175d6bf60d25c746d293f.jpg"
"1708086691-2","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Ford focus","4 000 000 FCFA","Plateau","media/annonces/pics/thumbs/e62e63fc82e179f2d87eea913b42c74a.jpg"
"1708086691-3","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Nissan rogue","14 500 000 FCFA","Plateau","media/annonces/pics/thumbs/2065f79504a1109322d90cced9fdbfab.jpg"
"1708086691-4","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Bmw x3","4 800 000 FCFA","Plateau","media/annonces/pics/thumbs/8db63f91bb1cef35b3ec4e75d643afe8.jpg"
"1708086691-5","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Citroën berlingo","3 800 000 FCFA","Plateau","media/annonces/pics/thumbs/2ef1ee489cce2b0bc0a1c96001c9ddc5.jpg"
"1708086691-6","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Bmw x5","4 800 000 FCFA","Plateau","media/annonces/pics/thumbs/3fae4b984776c865ce86a868b2015213.jpg"
"1708086691-7","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Mercedes e200 avant-garde","19 800 000 FCFA","Plateau","media/annonces/pics/thumbs/606ca418a563040b6f4a6ced0beaff45.png"
"1708086691-8","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Vends  Ford escape","9 800 000 FCFA","Plateau","media/annonces/pics/thumbs/49f0013a3760ac92b9c7d05b58cee442.jpg"
"1708086691-9","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Hyundai elantra","3 950 000 FCFA","Plateau","media/annonces/pics/thumbs/cbe780c9d7b6ba4ce5b5e6f66297c1fb.jpg"
"1708086691-10","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Location de voiture cobalt","25 000 FCFA","Plateau","media/annonces/pics/thumbs/6df9fddf4e48645d5d72ef3b00687e78.jpg"
"1708086691-11","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Ford escape hybride","4 800 000 FCFA","Plateau","media/annonces/pics/thumbs/fb3a196cbbb42f1b49c052ef2919a4e4.jpg"
"1708086691-12","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Ford focus","2 100 000 FCFA","Plateau","media/annonces/pics/thumbs/9507729bf4240af9398ed2b3df422551.jpg"
"1708086691-13","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Hyundai tucson","3 900 000 FCFA","Plateau","media/annonces/pics/thumbs/b4f2ba7988e92d5da0dfa956f5598ee2.jpg"
"1708086691-14","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Mercedes 190","2 200 000 FCFA","Plateau","media/annonces/pics/thumbs/e2fcc85dc4ac40372f99e6cea6e24a2f.jpg"
"1708086691-15","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Ford escape","6 000 000 FCFA","Plateau","media/annonces/pics/thumbs/a0b0ff7cb27e1fe363f6afaf977e0334.jpg"
"1708086691-16","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Kia optima","8 000 000 FCFA","Plateau","media/annonces/pics/thumbs/bd89729fd52c6e329d0e1c124194e11c.jpg"
"1708086691-17","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Citroën c4","2 500 000 FCFA","Plateau","media/annonces/pics/thumbs/df349a4bc5310c73e67ef9753e6ad9a6.jpg"
"1708086691-18","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Chevrolet malibu","2 000 000 FCFA","Plateau","media/annonces/pics/thumbs/45e7c8402f450c7c340dad9ea6cd117c.jpg"
"1708086691-19","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Vends une Ford focus année 2013","5 500 000 FCFA","Plateau","media/annonces/pics/thumbs/e6cc772f3005e00c72bb3bffcd7c0c88.jpg"
"1708086691-20","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Ford fiesta","4 750 000 FCFA","Plateau","media/annonces/pics/thumbs/35c2165e9bb37fc57631ff8db441da54.jpg"
"1708086691-21","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Vends Bmw 320i série 3","15 500 FCFA","Plateau","media/annonces/pics/thumbs/b4a80a810b08b1019706214f9ce566eb.jpg"
"1708086691-22","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Vends Ford explorer année 2013 essence","16 500 000 FCFA","Plateau","media/annonces/pics/thumbs/8d38f4bc7eae754b442d5bd08fc870ab.jpg"
"1708086691-23","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Vends Citroën c4","3 100 000 FCFA","Plateau","media/annonces/pics/thumbs/dbc006e3887025377b07a321fc03cab9.jpg"
"1708086691-24","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Hyundai tucson","3 900 000 FCFA","Plateau","media/annonces/pics/thumbs/06b89dc425a73f1336cd6a84829f3e0c.jpg"
"1708086691-25","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Dacia logan","3 000 000 FCFA","Plateau","media/annonces/pics/thumbs/ca309c18cc085b9d183590fe07c78e77.jpg"
"1708086691-26","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=86","Dacia stepway","3 800 000 FCFA","Plateau","media/annonces/pics/thumbs/c0137e74e63e3bf1b6135c6edfa46879.jpg"
"1708086700-27","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Mercedes benz c230","8 600 000 FCFA","Plateau","media/annonces/pics/thumbs/c30ffee16a88e6635a6133ca4ef41403.jpg"
"1708086700-28","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Taxi toyota carina 2","3 000 000 FCFA","Plateau","media/annonces/pics/thumbs/ac1983c5a0da918f4d90b9eaded214d3.jpg"
"1708086700-29","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Ford escape","6 200 000 FCFA","Plateau","media/annonces/pics/thumbs/937768d8963836b7711229c9822da39a.jpg"
"1708086700-30","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Range rover sport se","","Plateau","media/annonces/pics/thumbs/a8ee78a02d7f60d7bef2a098c1fccdc1.jpg"
"1708086700-31","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Renault megane z","2 600 000 FCFA","Plateau","media/annonces/pics/thumbs/55fab2adbc011acd0f26f7aabe655f62.jpg"
"1708086700-32","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Jeep compass","13 000 000 FCFA","Plateau","media/annonces/pics/thumbs/a6b4d6bbd9c5cdda96b79bdfcd9c2ca8.jpg"
"1708086700-33","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Hyundai sonata","4 000 000 FCFA","Plateau","media/annonces/pics/thumbs/3294e202f67ab04d53423a8da4e4029c.jpg"
"1708086700-34","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Toyota corolla","4 400 000 FCFA","Plateau","media/annonces/pics/thumbs/17f1775b5e17329fd69c8f492d2aa326.jpg"
"1708086700-35","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Ford focus","4 000 000 FCFA","Plateau","media/annonces/pics/thumbs/61626d743f110f72747036b56d84510d.jpg"
"1708086700-36","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Ford explorer xlt","14 000 000 FCFA","Plateau","media/annonces/pics/thumbs/eacf933b24bd4f0763ce42c9e9d455ef.jpg"
"1708086700-37","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Chevrolet equinox","7 300 000 FCFA","Plateau","media/annonces/pics/thumbs/0b9150877de7181f28cd347a1b9be8a3.jpg"
"1708086700-38","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Toyota corolla verso","3 999 000 FCFA","Plateau","media/annonces/pics/thumbs/dc6b441d461af1112f07258232530cb0.jpg"
"1708086700-39","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Ford fusion","3 700 000 FCFA","Plateau","media/annonces/pics/thumbs/60e53b09658324a6984ed0416ce93511.jpg"
"1708086700-40","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Honda accord mod","6 000 000 FCFA","Plateau","media/annonces/pics/thumbs/64c1794538bbbce9de2638e1bb49aaec.jpg"
"1708086700-41","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Mercedes class e 200","10 500 000 FCFA","Plateau","media/annonces/pics/thumbs/5c40508ff9ff0c1b4645bec4b59e1834.jpg"
"1708086700-42","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Volkswagen jetta","5 200 000 FCFA","Plateau","media/annonces/pics/thumbs/827c640e986fc824a8924cae4e2ebb2d.jpg"
"1708086700-43","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Peugeot partner à vendre","3 800 000 FCFA","Plateau","media/annonces/pics/thumbs/8cb279543f6f9cb122e9f1d4124a863b.jpg"
"1708086700-44","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Ford edge titanium","16 900 000 FCFA","Plateau","media/annonces/pics/thumbs/c9f82640e0aa7bcd9dd7b96c04f1c3ea.jpg"
"1708086700-45","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Citroën c4","3 000 000 FCFA","Plateau","media/annonces/pics/thumbs/3afc98bb07572436fc172307f74f549b.jpg"
"1708086700-46","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Jeep compass","13 000 000 FCFA","Plateau","media/annonces/pics/thumbs/5ed76841ba596ccc9d74ecd5d5c3c38a.jpg"
"1708086700-47","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Mitsubishi nativa 4x4","4 200 000 FCFA","Plateau","media/annonces/pics/thumbs/3adb594662574cce62b0e7d4a2d652a7.jpg"
"1708086700-48","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Toyota prado vx","7 000 000 FCFA","Plateau","media/annonces/pics/thumbs/b3447c7fd70ea18bf15a0e4b7284b0d7.jpg"
"1708086700-49","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Volkswagen jetta","6 200 000 FCFA","Plateau","media/annonces/pics/thumbs/16b48aa48665b6f8e3ec2a61cb4352d4.jpeg"
"1708086700-50","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Mercedes class e 200","10 500 000 FCFA","Plateau","media/annonces/pics/thumbs/fc6a3e315bceba92d613d88ae08bf501.jpg"
"1708086700-51","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Volkswagen jetta","5 200 000 FCFA","Plateau","media/annonces/pics/thumbs/514a24e4d04b801347942450cb2a1fbd.jpg"
"1708086700-52","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Ford focus","5 500 000 FCFA","Plateau","media/annonces/pics/thumbs/8cadaf7ecc919d3a1cd366f669b1714e.jpg"
"1708086700-53","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Ford mondeo","2 800 000 FCFA","Plateau","media/annonces/pics/thumbs/58a7e4f0e060f7e521ca954bc2a408ab.jpg"
"1708086700-54","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Hyundai Grandeur!","10 000 000 FCFA","Plateau","media/annonces/pics/thumbs/fd7539c960eba81f705de2200468e7f3.jpg"
"1708086700-55","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Renault traffic","5 600 000 FCFA","Plateau","media/annonces/pics/thumbs/94c68b359c4505f16375656fd213b425.jpeg"
"1708086700-56","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Toyota rav4","11 999 000 FCFA","Plateau","media/annonces/pics/thumbs/0b2a2965f1cb2210659f6001abc714dc.jpg"
"1708086700-57","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Peugeot 206","2 200 000 FCFA","Plateau","media/annonces/pics/thumbs/35e94da801498b6518df0604afbaa975.jpg"
"1708086700-58","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Toyota corolla verso","3 999 000 FCFA","Plateau","media/annonces/pics/thumbs/989368c4767e6350fd9b23ec584e4398.jpg"
"1708086700-59","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Kia optima","5 899 000 FCFA","Plateau","media/annonces/pics/thumbs/557a05b90bb7f95639d6d91e21440743.jpg"
"1708086700-60","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Chevrolet cruze","5 000 000 FCFA","Plateau","media/annonces/pics/thumbs/d3ad05981bed9643ad326502d0578df0.jpg"
"1708086700-61","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Chevrolet equinox","7 000 000 FCFA","Plateau","media/annonces/pics/thumbs/be832933ad29e8edb6d8f4cc8c2ced8a.jpg"
"1708086700-62","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Mercedes e200 avant-garde","19 800 000 FCFA","Plateau","media/annonces/pics/thumbs/78ba4343f8d8e7baccb8c219140bf9f1.png"
"1708086700-63","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Toyota rav 4","8 200 000 FCFA","Plateau","media/annonces/pics/thumbs/d4d6955e14aaabd38e3cb0de38cd70ba.jpeg"
"1708086700-64","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Ford escape","8 500 000 FCFA","Plateau","media/annonces/pics/thumbs/ef80ff13ed50059261c2cc4e2ca77cca.jpg"
"1708086700-65","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Vends  Ford fusion","3 700 000 FCFA","Plateau","media/annonces/pics/thumbs/6f4a6e9a5bebf7ea463f0ba2de82596a.jpg"
"1708086700-66","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Jeep patriot","4 100 000 FCFA","Plateau","media/annonces/pics/thumbs/4d04555a27957bde4c2e289e19b91ebd.jpg"
"1708086700-67","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Chevrolet equinox","7 300 000 FCFA","Plateau","media/annonces/pics/thumbs/6c0b24163a3c750777cb8c8ac9eac9c1.jpg"
"1708086700-68","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=85","Peugeot 308","4 100 000 FCFA","Plateau","media/annonces/pics/thumbs/dc6dd72a8942d03a170762c5b03d8fb0.jpg"
"1708086706-69","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Hyundai ix 35","6 990 000 FCFA","Plateau","media/annonces/pics/thumbs/086b1088bab19a184ffd75244a8b2fe8.jpg"
"1708086706-70","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Volkswagen golf 2","750 000 FCFA","Plateau","media/annonces/pics/thumbs/da3c522e0a32fd05b10d9578a5e2ed3e.jpg"
"1708086706-71","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Peugeot 406","1 950 000 FCFA","Plateau","media/annonces/pics/thumbs/be492aab8fefcda900fd35c7f4286be7.jpg"
"1708086706-72","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Peugeot 206 5 portes","800 000 FCFA","Plateau","media/annonces/pics/thumbs/79f5429f51238d0beba2d2cdfc6f7c91.jpg"
"1708086706-73","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Renault Kangoo","2 800 000 FCFA","Plateau","media/annonces/pics/thumbs/3324bd46643a1d893ea79c84405a07b7.jpg"
"1708086706-74","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Seat toledo","1 500 000 FCFA","Plateau","media/annonces/pics/thumbs/2766345e7f3094593a4423c4699ac930.jpg"
"1708086706-75","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Bmw x5","35 000 000 FCFA","Plateau","media/annonces/pics/thumbs/056cad18e1667ca3d447a48d26f4f78e.jpg"
"1708086706-76","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Nissan qashqai","4 100 000 FCFA","Plateau","media/annonces/pics/thumbs/79002c52175dd3333d82a091dabe5d9b.jpg"
"1708086706-77","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","TOYOTA V6","49 000 000 FCFA","Plateau","media/annonces/pics/thumbs/51cbd48c6c0f44786ced9221158f77aa.jpg"
"1708086706-78","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","MAZDA 3 à vendre!!","4 200 000 FCFA","Plateau","media/annonces/pics/thumbs/ee17c84a29d701c3946fa84a4f453ef7.jpg"
"1708086706-79","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Chevrolet kolos","1 750 000 FCFA","Plateau","media/annonces/pics/thumbs/98511729699c93e04ba6fc71fc92b5b4.jpg"
"1708086706-80","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Nissan  2016","16 000 000 FCFA","Plateau","media/annonces/pics/thumbs/5cb2c8402df9edb985ccf7f86dadf4ee.jpg"
"1708086706-81","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","VENDS MERCEDES C200 CDI","2 500 000 FCFA","Plateau","media/annonces/pics/thumbs/db8f2bfe02086742652ca1397f3118ba.jpg"
"1708086706-82","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Sen iran","1 800 000 FCFA","Plateau","media/annonces/pics/thumbs/8c2883950766cfb911580f7e69c937ac.jpg"
"1708086706-83","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Vente","5 500 000 FCFA","Plateau","media/annonces/pics/thumbs/d60d360ceaa8817bb8b24b299535cef5.jpg"
"1708086706-84","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Vente voiture","2 200 000 FCFA","Thiès","media/annonces/pics/thumbs/7cf18469a7ff7f928e37d4104a1335de.jpg"
"1708086706-85","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Vente voiture","3 500 000 FCFA","Plateau","media/annonces/pics/thumbs/22c78a154d0c2e53404e70f9d0319333.jpg"
"1708086706-86","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","VOITURES PEUGEOT 308 à Vendre","3 800 000 FCFA","Plateau","media/annonces/pics/thumbs/dc532da80acc205e2cfe5866fb20733b.jpg"
"1708086706-87","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Ford fiesta","4 400 000 FCFA","Plateau","media/annonces/pics/thumbs/0b1adf2bcbb9b9567b1268a446137a33.jpg"
"1708086706-88","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Citroën c3","1 900 000 FCFA","Plateau","media/annonces/pics/thumbs/1d616c923d65ef304378ae36e440f7be.jpg"
"1708086706-89","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Peugeot 407 à prix cadeau!!","2 000 000 FCFA","Plateau","media/annonces/pics/thumbs/6e9201723d39c7e3937472deb0f440b1.jpg"
"1708086706-90","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Renault laguna","1 900 000 FCFA","Plateau","media/annonces/pics/thumbs/96b29b7229edf5cd7f27c7c356cebf37.jpg"
"1708086706-91","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Ford focus","3 750 000 FCFA","Plateau","media/annonces/pics/thumbs/b3f6926959b301bb10f3b2f231fc3182.jpg"
"1708086706-92","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Renault 19","1 000 000 FCFA","Plateau","media/annonces/pics/thumbs/7bdca86b2e668d98fb0d9494c37cec2c.jpg"
"1708086706-93","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Land cruiser v8","6 000 000 FCFA","Plateau","media/annonces/pics/thumbs/e71da690237487a337eb3d5bafda89bf.jpg"
"1708086706-94","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Toyota prado","8 500 000 FCFA","Plateau","media/annonces/pics/thumbs/e540235da72e1f55898e1c0ed938e3c5.jpg"
"1708086706-95","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Renault clio 2","1 750 000 FCFA","Plateau","media/annonces/pics/thumbs/fb3f5ff45b82500bb9bcb361553fc3bb.jpg"
"1708086706-96","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Citroën c4","2 850 000 FCFA","Plateau","media/annonces/pics/thumbs/dc0306b93e7ba98881c689a3638665fc.jpg"
"1708086706-97","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Nissan primera à vendre","4 000 000 FCFA","Pikine","media/annonces/pics/thumbs/0f8a9098e179ac07e94eb6c77b5a6169.jpeg"
"1708086706-98","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Kia sportage","8 000 000 FCFA","Plateau","media/annonces/pics/thumbs/9e01943ae177840b5e982a24426d89c8.jpg"
"1708086706-99","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Audi a3","330 000 FCFA","Plateau","media/annonces/pics/thumbs/dc436295b24f36c4ed04178a0dc4cdd3.jpg"
"1708086706-100","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Chevrolet malibu","2 400 000 FCFA","Plateau","media/annonces/pics/thumbs/4137bd6ed910765cb936531f10097d6b.jpg"
"1708086706-101","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Peugeot 607 Automatique Diesel","5 000 000 FCFA","Rufisque","media/annonces/pics/thumbs/2d6fd9c8e332cb001ab6b311849b11cf.jpg"
"1708086706-102","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Toyota avensis break","4 700 000 FCFA","Plateau","media/annonces/pics/thumbs/52e1085538535d38caf20d8f4a61cf9e.jpg"
"1708086706-103","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Chevrolet equinox","7 300 000 FCFA","Plateau","media/annonces/pics/thumbs/45fd942a15cce67fe08d25ab332c7a3d.jpg"
"1708086706-104","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Ford escape","4 950 000 FCFA","Plateau","media/annonces/pics/thumbs/aea2f466db45b9c10afc50c7f89d3eef.jpg"
"1708086706-105","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Mercedes c300 4matic","12 800 000 FCFA","Plateau","media/annonces/pics/thumbs/8944887f510b119736865088e158947d.jpg"
"1708086706-106","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Chevrolet trax","9 000 000 FCFA","Plateau","media/annonces/pics/thumbs/f13cde35b9460913c6dcd10c7ce80587.jpg"
"1708086706-107","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Mazda 6","5 400 000 FCFA","Plateau","media/annonces/pics/thumbs/5d91f5f7332aeef8e1054fd0e7339e12.jpg"
"1708086706-108","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Taxi toyota avensis","3 300 000 FCFA","Plateau","media/annonces/pics/thumbs/7b1c3c95a2657e9626b6b3f0117cc466.jpg"
"1708086706-109","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Hyundai sonata","6 000 000 FCFA","Plateau","media/annonces/pics/thumbs/ef7af2349deb82177efcae975416761b.jpg"
"1708086706-110","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=84","Hyundai sonata","6 300 000 FCFA","Plateau","media/annonces/pics/thumbs/fe06039c4dae985817fc59175e8c96d4.jpg"
"1708086717-111","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Hyundai sonata","3 000 000 FCFA","Plateau","media/annonces/pics/thumbs/1932f76c55102840feffcb7a96a389c2.jpg"
"1708086717-112","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Citroën picasso","2 000 000 FCFA","Plateau","media/annonces/pics/thumbs/54e207943ca73edda2e3d302fc8cba41.jpg"
"1708086717-113","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Ford explorer XLT","12 000 000 FCFA","Plateau","media/annonces/pics/thumbs/bee277a317d355ea2713c68c8827fe34.jpg"
"1708086717-114","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Peugeot 308","3 200 000 FCFA","Plateau","media/annonces/pics/thumbs/5c7fb8a0c1c55acc86762dd5b21d64a6.jpg"
"1708086717-115","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Citroen ds5 2012","8 500 000 FCFA","Plateau","media/annonces/pics/thumbs/0be2060d477cdfd285138fd24a746964.jpg"
"1708086717-116","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Ford escape","6 200 000 FCFA","Plateau","media/annonces/pics/thumbs/54d01fea4a4bc5228c63abfcec5175dc.png"
"1708086717-117","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Ford fusion","3 100 000 FCFA","Plateau","media/annonces/pics/thumbs/49cbee8f74c13e377d2884ecc362889d.png"
"1708086717-118","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Hyundai ix35","8 000 000 FCFA","Plateau","media/annonces/pics/thumbs/98647ca5239e31368e3f774d24676b82.jpg"
"1708086717-119","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Taxi Citroen C3 à vendre","2 800 000 FCFA","Plateau","media/annonces/pics/thumbs/413628ad5d5a2aaa2547f4dc67452f17.jpg"
"1708086717-120","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Voiture Toyota RAV4","4 500 000 FCFA","Plateau","media/annonces/pics/thumbs/ceb4398fe7d5822e0530d53eae6d0a1f.jpg"
"1708086717-121","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Nissan Rogue sport","13 500 000 FCFA","Plateau","media/annonces/pics/thumbs/1fdc71d15ac52c3e9f324c71b96528d4.png"
"1708086717-122","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Ford escape","7 500 000 FCFA","Plateau","media/annonces/pics/thumbs/b91d648edad69bbd9eb7541146d40c72.png"
"1708086717-123","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Dacia logan à vendre","2 350 000 FCFA","Plateau","media/annonces/pics/thumbs/095de8bf132ead3edc9364e9b94d7fcd.jpg"
"1708086717-124","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Ford focus","3 750 000 FCFA","Plateau","media/annonces/pics/thumbs/e4b4ad5a5bf23d1fd9139eaa2a78a106.jpg"
"1708086717-125","https://dakarvente.com/index.php?page=annonces_categorie&id=2&sort=&nb=83","Kia sportage","8 500 000 FCFA","Plateau","media/annonces/pics/thumbs/f3d75f1cd039a27c49fd878f47ac15e5.jpeg"
